Date,Conductance,LocationIdentifier,HydrologicCondition,HydrologicEvent,,,,,,,,,,,,,,,,,,,,,ProjectIdentifier,ActivityConductingOrganizationText,ActivityCommentText,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultStatusIdentifier,ActivityStartTime/Time
1980-10-14,70,USGS-09072550,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,16:40:00
1980-11-19,10,USGS-09072550,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,09:55:00
1981-04-07,60,USGS-09072550,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,15:00:00
1981-04-29,44,USGS-09072550,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,13:15:00
1981-05-12,37,USGS-09072550,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,11:35:00
1981-05-14,48,USGS-09072550,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,11:55:00
1981-06-17,35,USGS-09072550,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,13:55:00
1981-06-18,35,USGS-09072550,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,11:00:00
1981-08-18,50,USGS-09072550,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,11:30:00
1981-10-14,60,USGS-09072550,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,11:15:00
