ActivityIdentifier,ActivityStartDate,MonitoringLocationIdentifier,HydrologicCondition,HydrologicEvent,Measure,SampleAquifer
nwisco.01.97502301,1975-04-09,USGS-392447107091000,Not determined,Routine sample,6.7,Pennsylvanian System
nwisco.01.97502294,1975-04-25,USGS-392350107111400,Not determined,Routine sample,6.8,Valley-Fill Deposits
nwisco.01.97502332,1975-02-24,USGS-392826107160800,Not determined,Routine sample,6.8,Maroon Formation
nwisco.01.97701457,1977-01-03,USGS-09073400,Not determined,Routine sample,6.8,
nwisco.01.97502282,1975-04-12,USGS-392155107050800,Not determined,Routine sample,6.9,Permian-Pennsylvanian Systems
nwisco.01.97502287,1975-02-24,USGS-392233107050100,Not determined,Routine sample,7.0,Valley-Fill Deposits
nwisco.01.97502308,1975-04-24,USGS-392503107122400,Not determined,Routine sample,7.0,Maroon Formation
nwisco.01.99701964,1997-05-22,USGS-09073300,"Stable, high stage",Snowmelt,7.2,
nwisco.01.96701452,1967-06-08,USGS-09085000,Not determined,Routine sample,7.2,
nwisco.01.97601077,1976-08-24,USGS-09073400,Not determined,Routine sample,7.2,
nwisco.01.96100729,1961-01-14,USGS-09085000,Not determined,Routine sample,7.3,
nwisco.01.96601001,1966-05-05,USGS-09085000,Not determined,Routine sample,7.3,
nwisco.01.00403984,2004-09-07,USGS-09073300,"Stable, normal stage",Routine sample,7.3,
nwisco.01.96400623,1963-10-01,USGS-09085000,Not determined,Routine sample,7.3,
nwisco.01.99802438,1998-06-02,USGS-09073300,Rising stage,Snowmelt,7.4,
nwisco.01.96200489,1962-05-09,USGS-09085000,Not determined,Routine sample,7.4,
nwisco.01.97502304,1975-02-18,USGS-392453107131100,Not determined,Routine sample,7.4,
nwisco.01.97502302,1975-04-09,USGS-392449107091800,Not determined,Routine sample,7.4,"Alluvium, Flood Plain"
nwisco.01.99803787,1998-09-03,USGS-09073400,"Stable, low stage",Routine sample,7.4,
nwisco.01.96601018,1966-08-01,USGS-09085000,Not determined,Routine sample,7.4,
nwisco.01.96701435,1967-02-28,USGS-09085000,Not determined,Routine sample,7.4,
nwisco.01.99703785,1997-08-20,USGS-09073300,"Stable, normal stage",Routine sample,7.5,
nwisco.01.96400634,1964-04-16,USGS-09085000,Not determined,Routine sample,7.5,
nwisco.01.96100756,1961-08-27,USGS-09085000,Not determined,Routine sample,7.5,
nwisco.01.96100753,1961-08-08,USGS-09085000,Not determined,Routine sample,7.5,
nwisco.01.97001513,1970-03-01,USGS-09085000,Not determined,Routine sample,7.5,
nwisco.01.97001529,1970-08-26,USGS-09085000,Not determined,Routine sample,7.5,
nwisco.01.00202578,2002-04-24,USGS-09073300,Rising stage,Snowmelt,7.5,
nwisco.01.00301061,2003-02-05,USGS-09073300,"Stable, low stage",Under ice cover,7.5,
nwisco.01.96300468,1963-08-01,USGS-09085000,Not determined,Routine sample,7.5,
nwisco.01.96300464,1963-07-01,USGS-09085000,Not determined,Routine sample,7.5,
nwisco.01.96701457,1967-07-01,USGS-09085000,Not determined,Routine sample,7.5,
nwisco.01.96500876,1965-04-01,USGS-09085000,Not determined,Routine sample,7.5,
nwisco.01.96500872,1965-02-01,USGS-09085000,Not determined,Routine sample,7.5,
nwisco.01.96000825,1960-07-08,USGS-09085000,Not determined,Routine sample,7.5,
nwisco.01.00600387,2005-12-21,USGS-09073300,"Stable, normal stage",Routine sample,7.5,
nwisco.01.96200496,1962-07-15,USGS-09085000,Not determined,Routine sample,7.5,
nwisco.01.96701444,1967-05-10,USGS-09085000,Not determined,Routine sample,7.5,
nwisco.01.96500887,1965-07-01,USGS-09085000,Not determined,Routine sample,7.5,
nwisco.01.96701451,1967-06-04,USGS-09085000,Not determined,Routine sample,7.5,
nwisco.01.95900266,1959-06-12,USGS-09085000,Not determined,Routine sample,7.5,
