OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
USGS-CO,USGS Colorado Water Science Center,nwisco.01.96701444,Sample-Routine,Water,Surface Water,1967-05-10,,,1967-05-17,,,,,,,,,,,,USGS-09085000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Alkalinity,Total,105,mg/l CaCO3,,Historical,,Actual,,,,,,,00410,,,,,,,,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,nwisco.01.97603433,Sample-Routine,Water,Surface Water,1976-08-24,12:30:00,MDT,,,,,,,,,,,,,USGS-391531106525200,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Alkalinity,Total,109,mg/l CaCO3,,Historical,,Actual,,,,,,,00410,,,,,,,,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,nwisco.01.98002389,Sample-Routine,Water,Surface Water,1980-04-25,13:30:00,MST,,,,,,,,,,,,Organization other than U.S. Geological Survey,USGS-09085000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Alkalinity,Total,109,mg/l CaCO3,,Historical,,Actual,,,,,,,00410,,,,,,,,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,nwisco.01.97201725,Sample-Routine,Water,Surface Water,1972-05-15,14:45:00,MDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-09085000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Alkalinity,Total,111,mg/l CaCO3,,Historical,,Actual,,,,,,,00410,,,,,,,,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,nwisco.01.96601014,Sample-Routine,Water,Surface Water,1966-07-05,,,1966-07-12,,,,,,,,,,,,USGS-09085000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Alkalinity,Total,112,mg/l CaCO3,,Historical,,Actual,,,,,,,00410,,,,,,,,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,nwisco.01.97502304,Sample-Routine,Water,Surface Water,1975-02-18,15:30:00,MST,,,,,,,,,,,,,USGS-392453107131100,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Alkalinity,Total,112,mg/l CaCO3,,Historical,,Actual,,,,,,,00410,,,,,,,,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,nwisco.01.97001513,Sample-Routine,Water,Surface Water,1970-03-01,10:00:00,MST,1970-03-31,,,,,,,,,,,,USGS-09085000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Alkalinity,Total,116,mg/l CaCO3,,Historical,,Actual,,,,,,,00410,,,,,,,,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,nwisco.01.96701461,Sample-Routine,Water,Surface Water,1967-07-26,,,1967-07-31,,,,,,,,,,,,USGS-09085000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Alkalinity,Total,118,mg/l CaCO3,,Historical,,Actual,,,,,,,00410,,,,,,,,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,nwisco.01.97102034,Sample-Routine,Water,Surface Water,1971-02-22,12:50:00,MST,,,,,,,,,,,,,USGS-09085000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Alkalinity,Total,119,mg/l CaCO3,,Historical,,Actual,,,,,,,00410,,,,,,,,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,nwisco.01.97902770,Sample-Routine,Water,Surface Water,1978-11-29,11:50:00,MST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-09085000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Alkalinity,Total,120,mg/l CaCO3,,Historical,,Actual,,,,,,,00410,,,,,,,,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,nwisco.01.96701434,Sample-Routine,Water,Surface Water,1967-02-15,,,1967-02-28,,,,,,,,,,,,USGS-09085000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Alkalinity,Total,121,mg/l CaCO3,,Historical,,Actual,,,,,,,00410,,,,,,,,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,nwisco.01.98002374,Sample-Routine,Water,Surface Water,1980-01-21,12:00:00,MST,,,,,,,,,,,,Organization other than U.S. Geological Survey,USGS-09085000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Alkalinity,Total,121,mg/l CaCO3,,Historical,,Actual,,,,,,,00410,,,,,,,,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,nwisco.01.98002375,Sample-Routine,Water,Surface Water,1980-01-28,12:30:00,MST,,,,,,,,,,,,Organization other than U.S. Geological Survey,USGS-09085000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Alkalinity,Total,122,mg/l CaCO3,,Historical,,Actual,,,,,,,00410,,,,,,,,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,nwisco.01.97201717,Sample-Routine,Water,Surface Water,1971-11-29,12:40:00,MST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-09085000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Alkalinity,Total,122,mg/l CaCO3,,Historical,,Actual,,,,,,,00410,,,,,,,,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,nwisco.01.96600996,Sample-Routine,Water,Surface Water,1966-03-27,,,1966-03-31,,,,,,,,,,,,USGS-09085000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Alkalinity,Total,122,mg/l CaCO3,,Historical,,Actual,,,,,,,00410,,,,,,,,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,nwisco.01.96701438,Sample-Routine,Water,Surface Water,1967-03-18,,,1967-03-31,,,,,,,,,,,,USGS-09085000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Alkalinity,Total,123,mg/l CaCO3,,Historical,,Actual,,,,,,,00410,,,,,,,,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,nwisco.01.98002373,Sample-Routine,Water,Surface Water,1980-01-17,,,,,,,,,,,,,,Organization other than U.S. Geological Survey,USGS-09085000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Alkalinity,Total,125,mg/l CaCO3,,Historical,,Actual,,,,,,,00410,,,,,,,,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,nwisco.01.97603465,Sample-Routine,Water,Surface Water,1976-08-25,10:30:00,MDT,,,,,,,,,,,,,USGS-392032107001900,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Alkalinity,Total,125,mg/l CaCO3,,Historical,,Actual,,,,,,,00410,,,,,,,,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,nwisco.01.98002379,Sample-Routine,Water,Surface Water,1980-02-21,12:00:00,MST,,,,,,,,,,,,Organization other than U.S. Geological Survey,USGS-09085000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Alkalinity,Total,125,mg/l CaCO3,,Historical,,Actual,,,,,,,00410,,,,,,,,,,,,,,,,,NWIS
