OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-CO,USGS Colorado Water Science Center,USGS-390636106345500,"INDEPENDENCE PASS SNOW SITE, CO",Land,,140100040102,,,,,39.11,-106.5819444,,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,11178,feet,50,feet,Global Positioning System.,NAVD88,US,08,097,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-390645106350000,"INDEPENDENCE PASS SNOW SITE (IN ROAD), CO",Land,,140100040102,,,,,39.1125,-106.5833333,,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,11191,feet,50,feet,Global Positioning System.,NAVD88,US,08,097,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09073300,"ROARING FORK RIVER AB DIFFICULT C NR ASPEN, CO.",Stream,,140100040104,75.8,sq mi,,,39.14109959,-106.7742039,,5,seconds,Interpolated from MAP.,NAD83,8120.00,feet,15,feet,Unknown.,NGVD29,US,08,097,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-390810106463000,SC01008528DBB,Well,,140100040104,,,,,39.14036389,-106.7728694,50000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,8150,feet,80,feet,Interpolated from topographic map.,NGVD29,US,08,097,Alluvial aquifers,Valley-Fill Deposits,Unconfined single aquifer,19810620,70,ft,100,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09073400,"ROARING FORK RIVER NEAR ASPEN, CO.",Stream,,140100040106,106,sq mi,,,39.17998755,-106.8019826,,1,seconds,Interpolated from MAP.,NAD83,8014.01,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,097,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-390421106533400,SC01108528BB00,Well,,140100040106,,,,,39.16296389,-106.7897889,,.1,seconds,Differentially corrected Global Positioning System.,NAD83,7984,feet,20,feet,Level or other surveyed method.,NAVD88,US,08,097,Alluvial aquifers,Valley-Fill Deposits,Unconfined single aquifer,19660928,40,ft,40,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-390835106485500,"AJAX MOUNTAIN SNOW SITE, CO",Land,,140100040106,,,,,39.14305556,-106.8152778,,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,11277,feet,50,feet,Global Positioning System.,NAVD88,US,08,097,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-391050106550000,"BURNT MOUNTAIN SNOW SITE, CO",Land,,140100040602,,,,,39.18055556,-106.9166667,,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,10296,feet,50,feet,Global Positioning System.,NAVD88,US,08,097,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-391140106492001,HUNTER CREEK,Stream,,140100040602,,,,,39.1944316,-106.8228167,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,097,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-391220106573800,BRUSH CR. ABV. SNOWMASS NR. ASPEN,Stream,,140100040602,,,,,39.2055418,-106.9611549,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,097,,,,,,,,,NWIS
